down,distance_bucket,field_zone,play_type,plays,success_rate,avg_epa,avg_yards
3.0,Very Long (11+),Own Territory,pass,529,0.22495274102079396,-0.23355965837559,6.043478260869565
3.0,Very Long (11+),Own Territory,run,101,0.18811881188118812,-0.22195989321915666,7.356435643564357
3.0,Very Long (11+),Plus Territory,pass,363,0.3608815426997245,-0.07481806217053832,6.18732782369146
3.0,Very Long (11+),Plus Territory,run,75,0.41333333333333333,0.22826791324124973,7.04
3.0,Very Long (11+),Red Zone,pass,85,0.21176470588235294,-0.09315147170519227,3.2588235294117647
3.0,Very Long (11+),Red Zone,run,23,0.30434782608695654,0.19683302891720708,6.217391304347826
4.0,Long (7-10),Backed Up,pass,1,0.0,-3.0701539395377,0.0
4.0,Long (7-10),Own Territory,pass,31,0.4838709677419355,0.09050712374042814,5.451612903225806
4.0,Long (7-10),Own Territory,run,5,0.2,-0.6738812233670619,7.0
4.0,Long (7-10),Plus Territory,pass,31,0.25806451612903225,-0.8134680435102762,4.161290322580645
4.0,Long (7-10),Plus Territory,run,3,0.6666666666666666,1.5091846844394832,7.666666666666667
4.0,Long (7-10),Red Zone,pass,12,0.25,-1.1494418697960391,4.0
4.0,Medium (4-6),Backed Up,pass,1,0.0,-2.85185408609686,3.0
4.0,Medium (4-6),Own Territory,pass,40,0.475,0.17177633841638423,8.3
4.0,Medium (4-6),Own Territory,run,3,1.0,3.6914094094342267,16.666666666666668
4.0,Medium (4-6),Plus Territory,pass,55,0.45454545454545453,0.06288544780508344,7.1454545454545455
4.0,Medium (4-6),Plus Territory,run,8,0.75,1.3467069435646413,5.0
4.0,Medium (4-6),Red Zone,pass,22,0.4090909090909091,-0.1331186170189709,2.3636363636363638
4.0,Medium (4-6),Red Zone,run,4,0.75,1.6184301941393624,5.5
4.0,Short (1-3),Backed Up,run,2,1.0,1.940958078834225,3.0
4.0,Short (1-3),Own Territory,pass,37,0.3783783783783784,-0.5530119037013373,3.2972972972972974
4.0,Short (1-3),Own Territory,run,83,0.7108433734939759,0.6134784481360532,3.0120481927710845
4.0,Short (1-3),Plus Territory,pass,129,0.6124031007751938,0.6560866859343979,8.193798449612403
4.0,Short (1-3),Plus Territory,run,141,0.7375886524822695,0.7322225887041479,4.042553191489362
4.0,Short (1-3),Red Zone,pass,77,0.5584415584415584,0.33337797552147685,2.5194805194805197
4.0,Short (1-3),Red Zone,run,74,0.7297297297297297,0.4681973213171022,1.9324324324324325
4.0,Very Long (11+),Backed Up,pass,4,0.25,-1.991274275351315,5.0
4.0,Very Long (11+),Backed Up,run,1,0.0,-1.91761878668331,-18.0
4.0,Very Long (11+),Own Territory,pass,22,0.18181818181818182,-1.2141676712357863,4.454545454545454
4.0,Very Long (11+),Plus Territory,pass,21,0.23809523809523808,-0.4762371957643019,5.904761904761905
4.0,Very Long (11+),Plus Territory,run,2,0.5,1.1910528414882702,14.5
4.0,Very Long (11+),Red Zone,pass,5,0.2,-1.51462371646194,0.6
4.0,Very Long (11+),Red Zone,run,1,1.0,3.04012503902777,11.0
